  0.4021276236E+00,   0.3762179911E+00,   0.3732891381E+00,   0.3635291457E+00,   0.3630727530E+00,   0.3565602601E+00,   0.3502357304E+00,   0.3495851755E+00,   0.3490533829E+00,   0.3439898789E+00,   0.3517054319E+00,   0.3534134626E+00,   0.3579460680E+00,   0.3625775278E+00,   0.3264424205E+00,   0.2703004479E+00,   0.2608748972E+00,   0.1796120405E+00,   0.1386947334E+00,   0.1179258227E+00
  0.3951488435E+00,   0.3703696132E+00,   0.3676333129E+00,   0.3580232859E+00,   0.3569979072E+00,   0.3507190049E+00,   0.3446782231E+00,   0.3435575068E+00,   0.3426910639E+00,   0.3380560577E+00,   0.3446643651E+00,   0.3461763859E+00,   0.3499874175E+00,   0.3538219035E+00,   0.3163898885E+00,   0.2585975230E+00,   0.2476682365E+00,   0.1696781218E+00,   0.1307886839E+00,   0.1136282682E+00
  0.3753561676E+00,   0.3561140597E+00,   0.3540003300E+00,   0.3463625014E+00,   0.3453603089E+00,   0.3399789631E+00,   0.3357644081E+00,   0.3340887129E+00,   0.3346597552E+00,   0.3317383528E+00,   0.3371072710E+00,   0.3376641870E+00,   0.3420977294E+00,   0.3454860449E+00,   0.3079108298E+00,   0.2445990592E+00,   0.2278985083E+00,   0.1539385766E+00,   0.1230664253E+00,   0.1054976135E+00
  0.3431759179E+00,   0.3299890161E+00,   0.3287269473E+00,   0.3235418499E+00,   0.3230298162E+00,   0.3194435835E+00,   0.3171583116E+00,   0.3159157038E+00,   0.3183079064E+00,   0.3178705573E+00,   0.3227159977E+00,   0.3234810531E+00,   0.3289401531E+00,   0.3331674933E+00,   0.3047464192E+00,   0.2424502522E+00,   0.2246460617E+00,   0.1598951519E+00,   0.1314328462E+00,   0.1082221419E+00
  0.3104239404E+00,   0.3010296524E+00,   0.3002333939E+00,   0.2971026003E+00,   0.2974281609E+00,   0.2959428728E+00,   0.2945286036E+00,   0.2943716049E+00,   0.2975866497E+00,   0.2984635830E+00,   0.3036092222E+00,   0.3058316708E+00,   0.3110713363E+00,   0.3165410757E+00,   0.3029986322E+00,   0.2503757179E+00,   0.2349105775E+00,   0.1732679158E+00,   0.1342601180E+00,   0.1158678234E+00
  0.2826392949E+00,   0.2764600813E+00,   0.2766075432E+00,   0.2744577527E+00,   0.2754752636E+00,   0.2740738094E+00,   0.2739035487E+00,   0.2741117179E+00,   0.2787592113E+00,   0.2807061374E+00,   0.2856994867E+00,   0.2870663106E+00,   0.2939898372E+00,   0.3009302318E+00,   0.3046492338E+00,   0.2653620541E+00,   0.2487134188E+00,   0.1757084131E+00,   0.1305709630E+00,   0.1192238107E+00
  0.2627866864E+00,   0.2588489950E+00,   0.2592760623E+00,   0.2576956451E+00,   0.2584427595E+00,   0.2572165132E+00,   0.2580320239E+00,   0.2574674785E+00,   0.2629897892E+00,   0.2660327256E+00,   0.2700771391E+00,   0.2707778215E+00,   0.2788094282E+00,   0.2879253328E+00,   0.3094055951E+00,   0.2778869867E+00,   0.2540927529E+00,   0.1700520068E+00,   0.1257273853E+00,   0.1179203764E+00
  0.2510716915E+00,   0.2471542209E+00,   0.2466353178E+00,   0.2459936291E+00,   0.2455982119E+00,   0.2461247146E+00,   0.2466392964E+00,   0.2462053746E+00,   0.2499876171E+00,   0.2535279095E+00,   0.2567395270E+00,   0.2596339881E+00,   0.2658483386E+00,   0.2776019871E+00,   0.3121799231E+00,   0.2808091640E+00,   0.2509811521E+00,   0.1628067940E+00,   0.1216156334E+00,   0.1145849302E+00
  0.2438115031E+00,   0.2385393828E+00,   0.2376912981E+00,   0.2369140387E+00,   0.2370700985E+00,   0.2377247810E+00,   0.2374015749E+00,   0.2378564477E+00,   0.2405515909E+00,   0.2428710610E+00,   0.2468829304E+00,   0.2505981028E+00,   0.2557057142E+00,   0.2684177756E+00,   0.3080882728E+00,   0.2759575546E+00,   0.2438590676E+00,   0.1562341303E+00,   0.1183129624E+00,   0.1109245345E+00
  0.2366752177E+00,   0.2311072350E+00,   0.2310003340E+00,   0.2292307317E+00,   0.2298341542E+00,   0.2289641649E+00,   0.2286033034E+00,   0.2295931429E+00,   0.2320390344E+00,   0.2337191403E+00,   0.2374743968E+00,   0.2397443652E+00,   0.2455112785E+00,   0.2572154105E+00,   0.2982841134E+00,   0.2669812739E+00,   0.2360968888E+00,   0.1511696875E+00,   0.1158109158E+00,   0.1075774655E+00
