wl,value
0.383206107,6.469344609
0.412977099,9.006342495
0.438167939,11.1627907
0.45648855,11.79704017
0.483969466,12.43128964
0.5,13.57293869
0.530916031,13.00211416
0.580152672,10.65539112
0.614503817,9.894291755
0.644274809,15.602537
0.667175573,21.56448203
0.676335878,25.87737844
0.678625954,28.54122622
0.692366412,31.205074
0.738167939,40.33826638
0.75648855,44.65116279
0.772519084,47.44186047
0.813740458,49.15433404
0.848091603,49.59830867
0.903053435,48.32980973
0.928244275,48.32980973
0.999236641,49.34460888
1.070229008,49.85200846
1.104580153,48.71035941
1.132061069,47.31501057
1.173282443,46.55391121
1.247709924,46.04651163
1.30610687,46.04651163
1.345038168,45.41226216
1.363358779,42.74841438
1.395419847,21.43763214
1.409160305,20.54968288
1.444656489,21.88160677
1.514503817,29.68287526
1.576335878,34.63002114
1.629007634,37.8012685
1.667938931,37.35729387
1.720610687,34.75687104
1.803053435,31.96617336
1.822519084,30.06342495
1.832824427,23.34038055
1.912977099,9.386892178
1.933587786,8.372093023
2.128244275,20.93023256
2.178625954,22.3255814
2.219847328,21.31078224
2.241603053,19.15433404
2.474045802,8.625792812
